INFO 2021-04-30 10:50:31,023 autoreload 16615 139797028714304 Watching for file changes with StatReloader
DEBUG 2021-04-30 10:50:31,024 autoreload 16615 139797028714304 Waiting for apps ready_event.
DEBUG 2021-04-30 10:50:31,026 autoreload 16615 139797028714304 Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2021-04-30 10:50:31,027 autoreload 16615 139797028714304 Watching dir /home/seantakei/Desktop/reds/locale with glob **/*.mo.
DEBUG 2021-04-30 10:50:31,027 autoreload 16615 139797028714304 Watching dir /home/seantakei/Desktop/reds/info/locale with glob **/*.mo.
DEBUG 2021-04-30 10:50:31,256 autoreload 16615 139797028714304 File /home/seantakei/Desktop/reds/11_env/lib/python3.8/site-packages/django/db/backends/sqlite3/introspection.py first seen with mtime 1611661712.9164736
DEBUG 2021-04-30 10:50:31,256 autoreload 16615 139797028714304 File /home/seantakei/Desktop/reds/11_env/lib/python3.8/site-packages/django/contrib/contenttypes/views.py first seen with mtime 1611661712.7364647
DEBUG 2021-04-30 10:50:31,256 autoreload 16615 139797028714304 File /usr/lib/python3.8/posixpath.py first seen with mtime 1595941180.0
DEBUG 2021-04-30 10:50:31,257 autoreload 16615 139797028714304 File /home/seantakei/Desktop/reds/11_env/lib/python3.8/site-packages/django/contrib/admin/views/__init__.py first seen with mtime 1611661712.7244642
DEBUG 2021-04-30 10:50:31,257 autoreload 16615 139797028714304 File /usr/lib/python3.8/secrets.py first seen with mtime 1595941180.0
DEBUG 2021-04-30 10:50:31,257 autoreload 16615 139797028714304 File /home/seantakei/Desktop/reds/11_env/lib/python3.8/site-packages/django/apps/config.py first seen with mtime 1611661712.4604511
DEBUG 2021-04-30 10:50:31,257 autoreload 16615 139797028714304 File /usr/lib/python3.8/xml/dom/xmlbuilder.py first seen with mtime 1595941180.0
DEBUG 2021-04-30 10:50:31,257 autoreload 16615 139797028714304 File /home/seantakei/Desktop/reds/11_env/lib/python3.8/site-packages/django/db/models/functions/datetime.py first seen with mtime 1611661712.9164736
DEBUG 2021-04-30 10:50:31,257 autoreload 16615 139797028714304 File /home/seantakei/Desktop/reds/11_env/lib/python3.8/site-packages/django/core/checks/security/csrf.py first seen with mtime 1611661712.9164736
